abbr,name,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
MT,Malta,1.004157339302846,0.9618273675477064,1.0339353443167,1.0676632689344552,1.071152364584568,1.1844492252231298,1.2037379992888466,1.226998636956264,1.1694285587294062,1.1955137023992954
CY,Cyprus,1.0162400467370607,0.9431633733239237,1.0402842713479181,1.003755733944954,1.0764665666901907,1.1295330621429809,1.2497607180663373,1.2478563867325336,1.157833450952717,1.095931392102114
FI,Finland,0.9838445506341049,1.0099366547998327,1.006529476284637,1.0234712479071577,1.0111225788134093,1.0386421249110223,1.0838592516460976,1.1631655670301853,1.1507227769829786,1.071370865225882
IS,Iceland,0.9757168776925722,1.0266905638442163,0.9980595415845083,1.006559376317859,1.0123750527143622,1.0292649924377337,1.0459270319249576,1.2033976543533516,1.1474776890023592,1.1636639771548647
NL,Netherlands,0.9907518569914104,0.9995335415378703,1.0098924503747304,1.03121723536311,1.0216136636289377,1.1333115553783948,1.1477347275339618,1.1408220442281145,1.1385020802698593,1.1492265810474096
IE,Ireland,0.994335064392329,1.004839555834767,1.0009343208422825,1.020105474441751,1.0084543188030168,1.028312374799417,1.1056978975828125,1.1352937693853589,1.132808619844687,1.1131592143265296
DE,Germany,1.0036946056522984,0.9855883727340069,1.0106459715049967,1.0355969977267478,1.0187161234223439,1.0684546032122977,1.108185953458176,1.1573256859321241,1.1140180818415115,1.0778434807403665
DK,Denmark,0.9947811694747981,0.9977072070395306,1.007611985611156,1.0450490126644452,1.0209322050695488,1.0328150036515924,1.082334242344989,1.1247046840124977,1.0977606503502217,1.065181580496212
AT,Austria,1.0109167181070517,0.9791059316215411,1.0097674133847332,1.0191061879031293,1.0128223848362299,1.1111567094275054,1.1119350968459647,1.1372565878606056,1.0887123463813357,1.0674230313267505
LU,Luxembourg,0.979596869783422,0.9722904740060201,1.0485050240993383,1.0605908265413206,1.0576310381881824,1.129391944485976,1.1074541421326816,1.0961082867789835,1.088462166866709,1.0861077897676215
PT,Portugal,0.9934630465977857,1.0067396509955968,0.9999230130489677,1.0311148503107919,1.0199703335067727,1.1259846342169653,1.1361825731848099,1.134645398453221,1.0785202210510414,1.0745409514631368
SI,Slovenia,0.9932445075774792,0.9819007719526017,1.024984633785737,1.024583387109759,1.0305519314149314,1.2009577986240774,1.1580480627069327,1.125547081952717,1.0769460783248848,1.0629722266962605
CH,Switzerland,1.0181090142141545,0.9752783079675024,1.006264427544994,1.0090552903112238,1.0185140522270402,1.1228268532448458,1.0650384888273245,1.1177782522367257,1.076035996700738,1.0443013368394856
NO,Norway,1.003358445632882,0.9958384097185539,1.0007385591556242,1.0030039548752745,0.9978329429065071,0.9956274807487587,1.0326264662963571,1.1227005700189838,1.0724432584558672,1.0693317447696957
FR,France,0.9949283613329124,0.9914515711088842,1.0137175990710323,1.0198944962696659,1.0257861251923504,1.1175183661067019,1.1062468814480626,1.1294962459378932,1.068420308057246,1.0549808534526621
EL,Greece,0.9994781637413672,0.9756790162170057,1.024852855354293,0.9908450112877364,1.0287269575809666,1.0776459728400463,1.186747374630573,1.1588604468752426,1.054606621282818,1.0357429950114398
ES,Spain,1.0102343430131193,0.9773835725493986,1.0121852701487684,1.02037970900679,0.9985278720520653,1.1778901145916514,1.0776036053844829,1.1081865507612059,1.0463564411752153,1.045271529933776
EE,Estonia,0.9910918571190317,0.9992543926001167,1.0098250607208703,1.0233972765796155,1.0004289112802005,1.027967311527698,1.2016631118012113,1.12238310089556,1.0409498057430888,1.0329210280497263
PL,Poland,0.9992057447885535,0.9806624180930632,1.020147111257065,1.0423958995296432,1.033049330313415,1.2074552484305185,1.3145513699722498,1.13297500212108,1.0337513367323128,1.0143236231831307
LI,Liechtenstein,0.9848764831744797,1.050505551149881,0.9649088025376685,1.0621778350515465,1.0115979381443299,1.240638980743046,1.0388332672482157,1.085522402854877,1.0271609833465503,1.1278240842289977
CZ,Czechia,1.0115663090685116,0.9769332082144,1.0112780536965404,1.0258267853238556,1.0206887235594186,1.1753132366502452,1.267661869718789,1.0918290149042553,1.0234126250976574,1.003266092549183
IT,Italy,1.0154601224617745,0.966445136363412,1.0177974311274716,0.9898970970654849,0.9962187143794687,1.1505677951434066,1.0942750558825995,1.1020562230764297,1.0201401481320653,0.9871977326669737
BE,Belgium,1.0114396524605087,0.9861639913763273,1.0021763628466158,1.0119250174130057,0.9944544746576222,1.1556122503074315,1.0267360024785932,1.0650886585431676,1.0194818296074604,1.0106438656052588
SK,Slovakia,1.0102226037580706,0.9795846027345273,1.0099962049735929,1.01817743377631,0.9989562479455585,1.1120438602202884,1.3722647778424124,1.1163897942539849,1.0147168680298733,0.9977329651649323
SE,Sweden,1.00650445011296,0.9918964651704114,1.0014739991375332,1.0015972188727829,0.9626373789457071,1.0655231102691798,0.9920980974644562,1.0180302508374233,1.0121605107219007,0.9665336551591307
HU,Hungary,1.0135717951984715,0.9738068656425553,1.012360343097464,1.0072018878139972,0.9968001595966628,1.0836105155850086,1.195558757267699,1.0483461589538756,0.9850105061909518,0.9654501479684813
ME,Montenegro,0.98645307364577,1.0010600496277915,1.0127473945409429,1.009630769230769,1.0252138957816377,1.1237492391965915,1.4204019851116625,1.0950263027295286,0.9839186104218363,1.0064206451612903
HR,Croatia,1.0230250294872254,0.9692142440399707,1.0073179374442034,0.993948552215026,0.9759651217299514,1.074992623023564,1.184561569343892,1.0767555365411474,0.9688549536307001,0.9564585749644279
LV,Latvia,0.9970806164594659,0.9976994303649274,1.0052760951667705,1.0082225759230428,0.9692518602061553,1.009607792505001,1.2091445017793274,1.0620660040287337,0.9687607800801099,0.9149077854784572
BG,Bulgaria,1.0111306796347388,0.9838076185391009,1.0048476502947232,0.9945987925369605,0.9910139902719135,1.1355391003802078,1.3663519792230179,1.0869580057656596,0.9252282728079605,0.9045531555393187
LT,Lithuania,1.0211541393563395,0.9998520841944869,0.9785869660769362,0.9654216800616975,0.9343927159960423,1.0641303904013844,1.1614571935711333,1.0370721585981633,0.9250448735093859,0.917769978990102
RO,Romania,1.0077466061365825,0.9880107584325756,1.0040936622359078,1.011800694292715,1.0003189462858904,1.1367956777201802,1.2844566533218646,1.0385811892252712,0.9239943435327919,0.8259403174627238
RS,Serbia,1.0117811364951759,0.980471696680983,1.0075206065066262,0.9867235212705141,0.9855317672081347,1.1409469289374452,1.3268325474169287,1.019926570926477,0.9232479647349309,0.9254336044288218
