name,abbr,cod,year,deaths,population,deaths_pp,deaths_p1ht,deaths_norm
Belgium,BE,Malignant neoplasms (C00-C97),2015,27377,11237274.0,0.0024362670163600177,243.62670163600177,1.0141095791582688
Belgium,BE,"Endocrine, nutritional and metabolic diseases (E00-E90)",2015,2795,11237274.0,0.0002487258030728805,24.872580307288047,1.0453753738587408
Belgium,BE,Mental and behavioural disorders (F00-F99),2015,5411,11237274.0,0.00048152247600263197,48.152247600263195,0.9961774767996951
Belgium,BE,Diseases of the circulatory system (I00-I99),2015,31662,11237274.0,0.0028175872547025194,281.75872547025193,1.0421090969690283
Belgium,BE,Diseases of the respiratory system (J00-J99),2015,11933,11237274.0,0.0010619123463573106,106.19123463573106,1.014631283590598
Belgium,BE,Diseases of the digestive system (K00-K93),2015,4819,11237274.0,0.0004288406601102723,42.88406601102723,0.9981256721498594
Belgium,BE,Diseases of the skin and subcutaneous tissue (L00-L99),2015,295,11237274.0,2.62519183923076e-05,2.62519183923076,0.8965465406772084
Belgium,BE,Diseases of the musculoskeletal system and connective tissue (M00-M99),2015,630,11237274.0,5.6063418939504366e-05,5.606341893950437,1.012009773942152
Belgium,BE,Diseases of the genitourinary system (N00-N99),2015,2875,11237274.0,0.0002558449673826588,25.58449673826588,1.0181143902974255
Belgium,BE,"Pregnancy, childbirth and the puerperium (O00-O99)",2015,4,11237274.0,3.5595821548891663e-07,0.03559582154889166,1.0961713753898759
Belgium,BE,Certain conditions originating in the perinatal period (P00-P96),2015,197,11237274.0,1.7530942112829142e-05,1.7530942112829142,0.9617382532198462
Belgium,BE,"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",2015,224,11237274.0,1.9933660067379332e-05,1.9933660067379333,0.9531502180381004
Belgium,BE,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",2015,5250,11237274.0,0.00046719515782920305,46.719515782920304,0.980181132075758
Bulgaria,BG,Malignant neoplasms (C00-C97),2015,17945,7029690.0,0.0025527441466124397,255.27441466124395,1.012049375259405
